category,priority,title,description,resolution_days
Water,High,Urgent: No water supply in hostel bathroom affecting several students,There is no water in the bathroom since yesterday and students cannot use the facilities. affecting several students.,1.5
Water,High,Please check: No water supply in hostel bathroom in our hostel block,There is no water in the bathroom since yesterday and students cannot use the facilities. in our hostel block.,0.7
Water,High,Immediate attention needed: No water supply in hostel bathroom reported by residents,There is no water in the bathroom since yesterday and students cannot use the facilities. reported by residents.,1.1
Water,High,Maintenance request: No water supply in hostel bathroom requiring staff support,There is no water in the bathroom since yesterday and students cannot use the facilities. requiring staff support.,1.0
Water,High,Urgent: Leaking tap in room affecting several students,The tap is leaking continuously and the floor is becoming wet. affecting several students.,1.7
Water,High,Please check: Leaking tap in room in our hostel block,The tap is leaking continuously and the floor is becoming wet. in our hostel block.,1.6
Water,High,Immediate attention needed: Leaking tap in room reported by residents,The tap is leaking continuously and the floor is becoming wet. reported by residents.,1.9
Water,High,Maintenance request: Leaking tap in room requiring staff support,The tap is leaking continuously and the floor is becoming wet. requiring staff support.,0.8
Water,High,Urgent: Low water pressure affecting several students,Water pressure is very low in Block B bathroom. affecting several students.,1.2
Water,High,Please check: Low water pressure in our hostel block,Water pressure is very low in Block B bathroom. in our hostel block.,0.7
Water,High,Immediate attention needed: Low water pressure reported by residents,Water pressure is very low in Block B bathroom. reported by residents.,1.0
Water,High,Maintenance request: Low water pressure requiring staff support,Water pressure is very low in Block B bathroom. requiring staff support.,1.4
Water,High,Urgent: Water tank issue affecting several students,The overhead tank is not supplying water to our floor. affecting several students.,0.7
Water,High,Please check: Water tank issue in our hostel block,The overhead tank is not supplying water to our floor. in our hostel block.,1.0
Water,High,Immediate attention needed: Water tank issue reported by residents,The overhead tank is not supplying water to our floor. reported by residents.,1.5
Water,High,Maintenance request: Water tank issue requiring staff support,The overhead tank is not supplying water to our floor. requiring staff support.,1.4
Water,High,Urgent: Broken shower affecting several students,The shower is broken and water is spraying from the pipe. affecting several students.,1.0
Water,High,Please check: Broken shower in our hostel block,The shower is broken and water is spraying from the pipe. in our hostel block.,1.5
Water,High,Immediate attention needed: Broken shower reported by residents,The shower is broken and water is spraying from the pipe. reported by residents.,1.8
Water,High,Maintenance request: Broken shower requiring staff support,The shower is broken and water is spraying from the pipe. requiring staff support.,0.7
Electricity,High,Urgent: Power outage in room affecting several students,There is no electricity in my room while other rooms have power. affecting several students.,1.7
Electricity,High,Please check: Power outage in room in our hostel block,There is no electricity in my room while other rooms have power. in our hostel block.,1.6
Electricity,High,Immediate attention needed: Power outage in room reported by residents,There is no electricity in my room while other rooms have power. reported by residents.,1.1
Electricity,High,Maintenance request: Power outage in room requiring staff support,There is no electricity in my room while other rooms have power. requiring staff support.,0.9
Electricity,High,Urgent: Fan not working affecting several students,The ceiling fan stopped working and the room is very hot. affecting several students.,1.9
